association_id,case_id,person_id,relationship
CA001,C083,P005,Witness
CA002,C091,P139,Suspect
CA003,C089,P130,Witness
CA004,C018,P057,Person Mentioned
CA005,C058,P074,Suspect
CA006,C020,P101,Witness
CA007,C005,P136,Victim
CA008,C065,P018,Associate
CA009,C034,P084,Witness
CA010,C060,P059,Victim
CA011,C082,P050,Associate
CA012,C040,P041,Witness
CA013,C045,P117,Suspect
CA014,C002,P076,Suspect
CA015,C021,P025,Person Mentioned
CA016,C018,P142,Victim
CA017,C014,P141,Suspect
CA018,C088,P108,Suspect
CA019,C081,P046,Victim
CA020,C045,P145,Suspect
CA021,C037,P102,Suspect
CA022,C005,P016,Associate
CA023,C078,P045,Witness
CA024,C008,P068,Associate
CA025,C053,P007,Suspect
CA026,C011,P033,Person Mentioned
CA027,C032,P134,Witness
CA028,C059,P023,Suspect
CA029,C012,P045,Witness
CA030,C017,P146,Associate
CA031,C009,P090,Suspect
CA032,C017,P008,Victim
CA033,C069,P096,Suspect
CA034,C064,P110,Associate
CA035,C097,P084,Witness
CA036,C099,P067,Victim
CA037,C049,P012,Victim
CA038,C084,P046,Witness
CA039,C057,P108,Witness
CA040,C082,P077,Associate
CA041,C004,P028,Person Mentioned
CA042,C012,P086,Witness
CA043,C001,P094,Associate
CA044,C093,P053,Victim
CA045,C063,P039,Victim
CA046,C031,P090,Person Mentioned
CA047,C054,P022,Associate
CA048,C053,P137,Witness
CA049,C021,P082,Suspect
CA050,C096,P033,Associate
CA051,C086,P047,Associate
CA052,C058,P001,Person Mentioned
CA053,C051,P108,Associate
CA054,C045,P103,Witness
CA055,C017,P071,Suspect
CA056,C080,P114,Associate
CA057,C070,P114,Person Mentioned
CA058,C035,P076,Associate
CA059,C060,P021,Witness
CA060,C075,P016,Witness
CA061,C047,P004,Suspect
CA062,C053,P028,Person Mentioned
CA063,C039,P129,Person Mentioned
CA064,C062,P078,Witness
CA065,C017,P061,Victim
CA066,C035,P054,Victim
CA067,C007,P079,Associate
CA068,C095,P097,Person Mentioned
CA069,C020,P029,Witness
CA070,C012,P087,Associate
CA071,C033,P092,Witness
CA072,C046,P066,Person Mentioned
CA073,C023,P005,Associate
CA074,C085,P071,Victim
CA075,C083,P023,Suspect
CA076,C013,P127,Witness
CA077,C070,P141,Suspect
CA078,C068,P038,Associate
CA079,C032,P001,Associate
CA080,C030,P079,Witness
CA081,C044,P074,Person Mentioned
CA082,C065,P046,Suspect
CA083,C068,P133,Victim
CA084,C076,P108,Person Mentioned
CA085,C003,P104,Associate
CA086,C034,P005,Victim
CA087,C013,P026,Suspect
CA088,C024,P024,Witness
CA089,C048,P080,Witness
CA090,C085,P072,Suspect
CA091,C093,P048,Witness
CA092,C004,P031,Associate
CA093,C007,P080,Person Mentioned
CA094,C096,P136,Associate
CA095,C001,P062,Associate
CA096,C019,P026,Person Mentioned
CA097,C050,P014,Suspect
CA098,C026,P042,Suspect
CA099,C090,P052,Suspect
CA100,C077,P115,Person Mentioned
CA101,C076,P013,Suspect
CA102,C012,P071,Suspect
CA103,C002,P054,Victim
CA104,C061,P030,Witness
CA105,C014,P128,Suspect
CA106,C076,P120,Person Mentioned
CA107,C054,P012,Suspect
CA108,C081,P100,Witness
CA109,C098,P091,Person Mentioned
CA110,C097,P014,Person Mentioned
CA111,C034,P026,Person Mentioned
CA112,C083,P073,Associate
CA113,C068,P085,Victim
CA114,C002,P031,Suspect
CA115,C027,P113,Victim
CA116,C029,P087,Person Mentioned
CA117,C022,P031,Suspect
CA118,C061,P043,Person Mentioned
CA119,C068,P114,Person Mentioned
CA120,C096,P001,Associate
CA121,C018,P120,Person Mentioned
CA122,C098,P015,Witness
CA123,C060,P029,Associate
CA124,C014,P110,Suspect
CA125,C071,P132,Suspect
CA126,C100,P121,Witness
CA127,C017,P052,Person Mentioned
CA128,C098,P099,Victim
CA129,C062,P126,Suspect
CA130,C069,P051,Associate
CA131,C044,P059,Suspect
CA132,C058,P108,Person Mentioned
CA133,C014,P002,Witness
CA134,C037,P141,Suspect
CA135,C087,P141,Victim
CA136,C046,P120,Person Mentioned
CA137,C005,P004,Witness
CA138,C084,P066,Victim
CA139,C025,P035,Witness
CA140,C051,P048,Witness
CA141,C016,P101,Person Mentioned
CA142,C005,P099,Person Mentioned
CA143,C086,P098,Person Mentioned
CA144,C046,P117,Victim
CA145,C051,P121,Suspect
CA146,C050,P114,Victim
CA147,C009,P112,Person Mentioned
CA148,C089,P031,Witness
CA149,C074,P094,Witness
CA150,C012,P083,Suspect
CA151,C095,P030,Associate
CA152,C039,P038,Associate
CA153,C010,P002,Associate
CA154,C002,P056,Witness
CA155,C047,P012,Person Mentioned
CA156,C099,P067,Witness
CA157,C037,P055,Suspect
CA158,C080,P138,Witness
CA159,C074,P036,Victim
CA160,C070,P075,Person Mentioned
CA161,C009,P057,Suspect
CA162,C002,P078,Suspect
CA163,C095,P109,Person Mentioned
CA164,C010,P004,Victim
CA165,C030,P012,Witness
CA166,C013,P095,Suspect
CA167,C049,P122,Victim
CA168,C098,P141,Associate
CA169,C090,P075,Associate
CA170,C092,P063,Witness
CA171,C086,P085,Witness
CA172,C040,P141,Suspect
CA173,C012,P001,Victim
CA174,C003,P031,Victim
CA175,C064,P108,Victim
CA176,C099,P040,Associate
CA177,C065,P150,Associate
CA178,C016,P082,Associate
CA179,C032,P142,Victim
CA180,C042,P029,Witness
CA181,C070,P020,Associate
CA182,C064,P085,Suspect
CA183,C018,P060,Person Mentioned
CA184,C048,P145,Associate
CA185,C065,P026,Victim
CA186,C047,P067,Witness
CA187,C049,P012,Person Mentioned
CA188,C060,P042,Witness
CA189,C094,P099,Suspect
CA190,C020,P076,Victim
CA191,C056,P095,Victim
CA192,C055,P119,Associate
CA193,C019,P010,Victim
CA194,C009,P114,Suspect
CA195,C004,P118,Witness
CA196,C008,P129,Associate
CA197,C016,P093,Associate
CA198,C034,P124,Person Mentioned
CA199,C083,P059,Associate
CA200,C086,P016,Witness
CA201,C013,P125,Victim
CA202,C040,P059,Person Mentioned
CA203,C003,P048,Associate
CA204,C038,P019,Victim
CA205,C065,P084,Associate
CA206,C086,P047,Associate
CA207,C007,P042,Person Mentioned
CA208,C023,P086,Victim
CA209,C099,P101,Person Mentioned
CA210,C052,P038,Associate
CA211,C024,P143,Person Mentioned
CA212,C039,P012,Associate
CA213,C054,P110,Victim
CA214,C018,P003,Associate
CA215,C084,P097,Witness
CA216,C019,P123,Suspect
CA217,C091,P053,Victim
CA218,C027,P141,Associate
CA219,C061,P107,Witness
CA220,C046,P033,Witness
CA221,C068,P111,Person Mentioned
CA222,C061,P014,Associate
CA223,C086,P008,Victim
CA224,C067,P134,Associate
CA225,C076,P060,Witness
CA226,C008,P086,Victim
CA227,C100,P061,Victim
CA228,C001,P089,Suspect
CA229,C088,P135,Person Mentioned
CA230,C099,P038,Associate
CA231,C026,P148,Associate
CA232,C096,P022,Victim
CA233,C077,P116,Associate
CA234,C033,P003,Victim
CA235,C025,P083,Associate
CA236,C058,P015,Associate
CA237,C065,P119,Associate
CA238,C091,P087,Victim
CA239,C033,P041,Associate
CA240,C010,P008,Witness
CA241,C068,P067,Witness
CA242,C024,P123,Witness
CA243,C052,P034,Associate
CA244,C094,P053,Witness
CA245,C008,P046,Witness
CA246,C083,P038,Associate
CA247,C014,P028,Suspect
CA248,C060,P095,Associate
CA249,C055,P031,Associate
CA250,C014,P109,Witness
CA251,C008,P076,Witness
CA252,C079,P140,Victim
CA253,C015,P074,Victim
CA254,C071,P104,Person Mentioned
CA255,C071,P060,Suspect
CA256,C048,P045,Suspect
CA257,C055,P149,Suspect
CA258,C027,P150,Witness
CA259,C024,P008,Witness
CA260,C096,P106,Person Mentioned
CA261,C071,P004,Suspect
