case_id,fir_number,crime_type,case_date,location_id
C001,FIR-2026-0001,Theft,2026-07-12,L014
C002,FIR-2026-0002,Smuggling,2024-10-02,L026
C003,FIR-2026-0003,Assault,2026-05-31,L015
C004,FIR-2026-0004,Fraud,2025-06-23,L004
C005,FIR-2026-0005,Cybercrime,2024-01-18,L020
C006,FIR-2026-0006,Assault,2025-05-08,L001
C007,FIR-2026-0007,Smuggling,2025-01-11,L017
C008,FIR-2026-0008,Assault,2026-06-20,L008
C009,FIR-2026-0009,Smuggling,2025-05-31,L005
C010,FIR-2026-0010,Robbery,2024-12-30,L014
C011,FIR-2026-0011,Fraud,2024-08-24,L020
C012,FIR-2026-0012,Robbery,2025-07-08,L008
C013,FIR-2026-0013,Assault,2025-06-27,L014
C014,FIR-2026-0014,Theft,2025-10-16,L022
C015,FIR-2026-0015,Smuggling,2025-08-20,L003
C016,FIR-2026-0016,Assault,2024-08-17,L012
C017,FIR-2026-0017,Fraud,2026-02-25,L017
C018,FIR-2026-0018,Assault,2024-02-20,L017
C019,FIR-2026-0019,Assault,2025-01-27,L018
C020,FIR-2026-0020,Fraud,2025-08-06,L013
C021,FIR-2026-0021,Cybercrime,2024-11-16,L002
C022,FIR-2026-0022,Smuggling,2024-09-12,L013
C023,FIR-2026-0023,Robbery,2024-01-23,L009
C024,FIR-2026-0024,Smuggling,2025-06-06,L001
C025,FIR-2026-0025,Robbery,2026-04-15,L026
C026,FIR-2026-0026,Fraud,2025-09-29,L012
C027,FIR-2026-0027,Theft,2025-03-26,L024
C028,FIR-2026-0028,Smuggling,2024-02-15,L021
C029,FIR-2026-0029,Fraud,2026-03-13,L025
C030,FIR-2026-0030,Assault,2025-06-07,L024
C031,FIR-2026-0031,Robbery,2024-05-22,L005
C032,FIR-2026-0032,Fraud,2023-10-30,L012
C033,FIR-2026-0033,Assault,2023-11-11,L011
C034,FIR-2026-0034,Smuggling,2026-02-03,L006
C035,FIR-2026-0035,Smuggling,2025-09-05,L015
C036,FIR-2026-0036,Smuggling,2025-02-23,L016
C037,FIR-2026-0037,Smuggling,2023-10-28,L006
C038,FIR-2026-0038,Theft,2025-12-06,L003
C039,FIR-2026-0039,Smuggling,2026-02-08,L025
C040,FIR-2026-0040,Cybercrime,2026-05-05,L002
C041,FIR-2026-0041,Robbery,2024-01-01,L007
C042,FIR-2026-0042,Fraud,2024-07-01,L026
C043,FIR-2026-0043,Theft,2024-10-20,L029
C044,FIR-2026-0044,Fraud,2025-11-25,L011
C045,FIR-2026-0045,Robbery,2025-02-12,L017
C046,FIR-2026-0046,Cybercrime,2026-01-05,L027
C047,FIR-2026-0047,Assault,2026-04-24,L016
C048,FIR-2026-0048,Robbery,2025-10-12,L002
C049,FIR-2026-0049,Smuggling,2025-05-15,L007
C050,FIR-2026-0050,Robbery,2024-04-23,L012
C051,FIR-2026-0051,Fraud,2026-06-13,L028
C052,FIR-2026-0052,Smuggling,2025-12-10,L011
C053,FIR-2026-0053,Robbery,2024-12-22,L004
C054,FIR-2026-0054,Robbery,2025-05-25,L014
C055,FIR-2026-0055,Cybercrime,2024-07-12,L024
C056,FIR-2026-0056,Cybercrime,2025-02-06,L029
C057,FIR-2026-0057,Cybercrime,2024-01-18,L011
C058,FIR-2026-0058,Theft,2025-07-29,L016
