cdr_id,caller_person_id,receiver_person_id,duration_seconds,call_date
CDR0001,P060,P137,1522,2025-11-21
CDR0002,P010,P045,865,2026-03-05
CDR0003,P046,P010,1722,2025-10-15
CDR0004,P102,P127,391,2026-08-05
CDR0005,P075,P010,28,2025-10-18
CDR0006,P077,P146,1244,2025-09-11
CDR0007,P028,P086,592,2026-07-13
CDR0008,P117,P140,1083,2026-04-12
CDR0009,P127,P035,1752,2026-04-17
CDR0010,P130,P120,568,2026-09-03
CDR0011,P050,P029,687,2026-06-02
CDR0012,P042,P118,1337,2025-10-21
CDR0013,P066,P048,38,2026-02-20
CDR0014,P087,P076,1172,2026-05-27
CDR0015,P050,P045,1261,2026-04-16
CDR0016,P104,P110,1065,2026-08-30
CDR0017,P084,P023,830,2026-05-19
CDR0018,P025,P048,297,2026-08-26
CDR0019,P123,P083,518,2026-07-29
CDR0020,P002,P067,795,2025-11-14
CDR0021,P061,P115,1553,2026-08-31
CDR0022,P069,P085,628,2026-06-06
CDR0023,P150,P147,33,2025-09-26
CDR0024,P067,P093,1428,2026-09-01
CDR0025,P061,P016,1377,2025-09-26
CDR0026,P031,P120,638,2025-10-13
CDR0027,P041,P104,1415,2025-12-17
CDR0028,P129,P080,1423,2026-08-06
CDR0029,P031,P076,762,2026-06-20
CDR0030,P057,P035,989,2025-12-09
CDR0031,P040,P117,1541,2025-11-13
CDR0032,P096,P107,1447,2026-02-01
CDR0033,P141,P121,1561,2026-01-17
CDR0034,P138,P056,1570,2026-02-02
CDR0035,P064,P021,1086,2026-08-01
CDR0036,P115,P136,1451,2026-07-31
CDR0037,P093,P020,1165,2026-04-16
CDR0038,P029,P016,1707,2026-03-24
CDR0039,P141,P130,424,2025-11-19
CDR0040,P147,P138,316,2026-08-18
CDR0041,P043,P084,1759,2026-04-18
CDR0042,P134,P114,248,2025-11-11
CDR0043,P053,P150,1011,2025-11-12
CDR0044,P024,P131,922,2026-06-24
CDR0045,P015,P117,280,2026-08-01
CDR0046,P132,P107,945,2026-01-25
CDR0047,P145,P015,1154,2026-09-02
CDR0048,P119,P079,1491,2026-06-12
CDR0049,P006,P102,531,2026-08-02
CDR0050,P001,P056,1194,2026-06-23
CDR0051,P019,P012,877,2025-09-23
CDR0052,P089,P017,1118,2026-05-24
CDR0053,P016,P018,976,2026-06-23
CDR0054,P009,P074,847,2026-02-16
CDR0055,P047,P035,1578,2026-03-11
CDR0056,P108,P096,793,2026-08-24
CDR0057,P115,P097,779,2025-09-19
CDR0058,P021,P139,282,2026-08-12
CDR0059,P090,P031,375,2026-06-28
CDR0060,P138,P101,1093,2025-10-10
CDR0061,P033,P058,1719,2026-06-16
CDR0062,P001,P006,621,2026-03-29
CDR0063,P119,P140,878,2026-02-27
CDR0064,P137,P098,1696,2026-02-13
CDR0065,P059,P064,953,2026-03-28
CDR0066,P089,P040,574,2026-05-29
CDR0067,P049,P029,75,2026-07-10
CDR0068,P108,P005,502,2026-08-07
CDR0069,P053,P018,216,2025-11-08
CDR0070,P009,P115,1234,2025-09-17
CDR0071,P013,P063,1526,2025-11-30
CDR0072,P012,P103,908,2026-05-04
CDR0073,P060,P139,454,2026-04-30
CDR0074,P015,P036,1041,2025-10-14
CDR0075,P075,P060,1680,2026-05-27
CDR0076,P148,P082,1192,2026-08-06
CDR0077,P083,P061,628,2025-11-16
CDR0078,P037,P134,462,2026-07-06
CDR0079,P106,P077,573,2025-10-19
CDR0080,P016,P143,1221,2026-01-11
CDR0081,P045,P110,1148,2026-01-14
CDR0082,P127,P013,715,2026-07-09
CDR0083,P098,P135,662,2026-08-04
CDR0084,P107,P105,315,2026-04-26
CDR0085,P077,P097,386,2026-08-19
CDR0086,P138,P122,503,2026-07-04
CDR0087,P058,P077,1766,2026-02-21
CDR0088,P037,P119,128,2025-12-17
CDR0089,P144,P106,863,2025-12-17
CDR0090,P143,P136,284,2026-04-28
CDR0091,P100,P063,532,2025-12-28
CDR0092,P053,P085,1334,2025-09-12
CDR0093,P021,P116,1744,2026-04-20
CDR0094,P095,P024,1106,2026-01-19
CDR0095,P049,P014,559,2026-01-14
CDR0096,P097,P011,1799,2026-01-13
CDR0097,P019,P049,1657,2026-05-20
CDR0098,P144,P056,991,2026-05-29
CDR0099,P054,P086,630,2026-01-15
CDR0100,P004,P055,399,2026-01-01
CDR0101,P031,P123,506,2025-09-29
CDR0102,P053,P102,500,2025-11-04
CDR0103,P142,P083,1598,2026-04-21
CDR0104,P073,P098,964,2026-02-16
CDR0105,P137,P092,641,2025-09-21
CDR0106,P067,P093,1060,2026-08-07
CDR0107,P128,P120,211,2025-11-05
CDR0108,P121,P082,426,2026-04-20
CDR0109,P095,P081,857,2026-04-07
CDR0110,P012,P145,1779,2025-11-23
CDR0111,P057,P038,43,2026-08-26
CDR0112,P067,P142,1206,2026-07-06
CDR0113,P149,P107,614,2026-05-13
CDR0114,P040,P051,685,2025-12-01
CDR0115,P059,P098,1176,2026-07-15
CDR0116,P063,P128,1137,2025-12-21
