device_id,device_type,person_id
D001,Laptop,P064
D002,Mobile,P007
D003,Tablet,P048
D004,Laptop,P133
D005,Laptop,P144
D006,Mobile,P068
D007,Laptop,P115
D008,Mobile,P074
D009,Tablet,P126
D010,Mobile,P032
D011,Mobile,P019
D012,Laptop,P045
D013,Tablet,P114
D014,Mobile,P082
D015,Tablet,P089
D016,Tablet,P017
D017,Tablet,P139
D018,Laptop,P077
D019,Mobile,P045
D020,Laptop,P131
D021,Mobile,P032
D022,Mobile,P036
D023,Mobile,P127
D024,Mobile,P093
D025,Tablet,P147
D026,Laptop,P120
D027,Tablet,P034
D028,Tablet,P023
D029,Mobile,P080
D030,Laptop,P123
D031,Tablet,P106
D032,Laptop,P148
D033,Mobile,P033
D034,Laptop,P019
D035,Laptop,P120
D036,Tablet,P133
D037,Laptop,P033
D038,Tablet,P047
D039,Mobile,P111
D040,Tablet,P015
D041,Mobile,P133
D042,Mobile,P078
D043,Mobile,P042
D044,Laptop,P058
D045,Laptop,P133
D046,Laptop,P021
D047,Laptop,P051
D048,Tablet,P142
D049,Laptop,P033
D050,Tablet,P078
D051,Tablet,P137
D052,Mobile,P129
D053,Tablet,P044
D054,Tablet,P149
D055,Mobile,P044
D056,Tablet,P087
D057,Tablet,P011
D058,Mobile,P021
D059,Mobile,P148
D060,Laptop,P054
D061,Tablet,P107
D062,Tablet,P008
D063,Laptop,P140
D064,Laptop,P078
D065,Laptop,P063
D066,Tablet,P104
D067,Laptop,P117
D068,Mobile,P016
D069,Mobile,P113
D070,Laptop,P124
D071,Laptop,P053
D072,Laptop,P037
D073,Laptop,P082
D074,Tablet,P089
D075,Laptop,P034
D076,Laptop,P132
D077,Tablet,P028
D078,Laptop,P062
D079,Laptop,P032
D080,Laptop,P116
D081,Mobile,P037
D082,Mobile,P013
D083,Laptop,P099
D084,Tablet,P108
D085,Mobile,P041
D086,Laptop,P148
D087,Tablet,P081
D088,Mobile,P041
D089,Laptop,P132
D090,Laptop,P128
D091,Laptop,P128
D092,Mobile,P024
D093,Laptop,P130
D094,Laptop,P062
D095,Mobile,P150
D096,Laptop,P013
D097,Mobile,P073
D098,Laptop,P121
D099,Laptop,P138
D100,Mobile,P028
D101,Laptop,P035
D102,Laptop,P094
D103,Laptop,P094
D104,Mobile,P103
D105,Mobile,P146
D106,Tablet,P050
D107,Laptop,P142
D108,Laptop,P019
D109,Laptop,P130
D110,Laptop,P141
D111,Laptop,P031
D112,Mobile,P025
D113,Laptop,P096
D114,Laptop,P143
D115,Laptop,P037
D116,Mobile,P131
D117,Laptop,P129
D118,Mobile,P012
D119,Mobile,P036
D120,Tablet,P086
D121,Laptop,P133
D122,Laptop,P039
D123,Tablet,P132
D124,Mobile,P084
D125,Tablet,P082
D126,Mobile,P101
D127,Tablet,P077
D128,Tablet,P087
D129,Tablet,P131
D130,Tablet,P126
D131,Tablet,P145
D132,Laptop,P122
D133,Mobile,P095
D134,Laptop,P029
D135,Laptop,P150
D136,Laptop,P007
D137,Tablet,P122
D138,Laptop,P149
D139,Tablet,P059
D140,Tablet,P014
D141,Tablet,P123
D142,Mobile,P135
D143,Tablet,P098
D144,Mobile,P063
D145,Mobile,P147
D146,Tablet,P029
D147,Mobile,P005
D148,Laptop,P081
D149,Laptop,P039
D150,Laptop,P053
D151,Laptop,P129
D152,Tablet,P121
D153,Tablet,P016
D154,Tablet,P036
D155,Tablet,P054
D156,Tablet,P084
D157,Tablet,P123
D158,Tablet,P097
D159,Laptop,P045
D160,Laptop,P137
D161,Laptop,P140
D162,Laptop,P068
D163,Tablet,P124
D164,Mobile,P064
D165,Laptop,P143
D166,Laptop,P058
D167,Laptop,P074
D168,Tablet,P054
D169,Tablet,P126
D170,Laptop,P123
D171,Laptop,P144
D172,Tablet,P071
D173,Laptop,P032
D174,Tablet,P140
D175,Laptop,P102
D176,Laptop,P038
D177,Laptop,P011
D178,Laptop,P021
D179,Laptop,P114
D180,Tablet,P066
D181,Tablet,P123
D182,Mobile,P052
D183,Tablet,P070
D184,Tablet,P070
D185,Mobile,P028
D186,Tablet,P062
D187,Mobile,P013
D188,Tablet,P136
D189,Mobile,P060
D190,Mobile,P026
D191,Laptop,P085
D192,Tablet,P121
D193,Mobile,P036
D194,Mobile,P141
D195,Mobile,P105
D196,Tablet,P122
D197,Laptop,P052
D198,Laptop,P083
D199,Laptop,P016
D200,Mobile,P147
