location_id,location_name,city,latitude,longitude
L001,Location_1,Guntur,16.401429,80.591584
L002,Location_2,Vijayawada,16.859997,81.079542
L003,Location_3,Bhimavaram,16.249072,80.673529
L004,Location_4,Bhimavaram,16.370364,80.75344
L005,Location_5,Guntur,16.4351,81.385691
L006,Location_6,Bhimavaram,17.251757,80.331078
L007,Location_7,Visakhapatnam,16.2568,80.728599
L008,Location_8,Guntur,17.460465,81.221191
L009,Location_9,Visakhapatnam,16.504204,80.478337
L010,Location_10,Visakhapatnam,17.375167,80.388032
L011,Location_11,Bhimavaram,17.479772,80.92336
L012,Location_12,Hyderabad,17.211561,81.005813
L013,Location_13,Visakhapatnam,17.456149,81.633782
L014,Location_14,Bhimavaram,16.379918,80.500006
L015,Location_15,Visakhapatnam,17.336352,81.109081
L016,Location_16,Vijayawada,17.124821,81.031819
L017,Location_17,Vijayawada,16.570582,81.526234
L018,Location_18,Hyderabad,16.784115,81.026705
L019,Location_19,Visakhapatnam,16.319228,81.82101
L020,Location_20,Visakhapatnam,17.350019,81.860944
L021,Location_21,Visakhapatnam,16.269234,81.004014
L022,Location_22,Guntur,16.702016,80.163211
L023,Location_23,Guntur,16.236644,81.861652
L024,Location_24,Hyderabad,17.228795,80.275199
L025,Location_25,Hyderabad,17.392615,80.94491
L026,Location_26,Guntur,17.186494,80.93822
L027,Location_27,Bhimavaram,16.206827,80.158452
L028,Location_28,Hyderabad,16.480351,80.299039
L029,Location_29,Bhimavaram,16.886103,80.222374
L030,Location_30,Hyderabad,16.508932,80.243697
