organization_id,name,type,city
O001,Bera-Parekh,Company,Vijayawada
O002,Sridhar Ltd,Association,Visakhapatnam
O003,Magar Ltd,Company,Visakhapatnam
O004,"Behl, Kashyap and Bhasin",Shop,Hyderabad
O005,Goel PLC,Association,Guntur
O006,"Balakrishnan, Gole and Brar",Company,Visakhapatnam
O007,"Morar, Gour and Baral",Company,Hyderabad
O008,Borde Inc,Company,Guntur
O009,Varughese LLC,Company,Guntur
O010,"Das, Pandit and Contractor",Association,Visakhapatnam
O011,Dubey LLC,Shop,Hyderabad
O012,Yadav and Sons,NGO,Hyderabad
O013,Bala Ltd,Association,Visakhapatnam
O014,"Sane, Chatterjee and Ramanathan",NGO,Vijayawada
O015,"Mand, Kale and Ghose",NGO,Vijayawada
O016,Kaur-Kala,NGO,Vijayawada
O017,Parikh LLC,Association,Hyderabad
O018,Bahri-Mukhopadhyay,NGO,Guntur
O019,Sethi and Sons,NGO,Vijayawada
O020,Tandon PLC,Shop,Hyderabad
O021,"Saran, Jani and Uppal",NGO,Visakhapatnam
O022,Sama-Gour,Shop,Vijayawada
O023,Garg LLC,NGO,Visakhapatnam
O024,"Gill, Patel and Kadakia",NGO,Guntur
O025,Mani-Bahl,Company,Visakhapatnam
O026,"Din, Brar and Banerjee",NGO,Vijayawada
O027,"Chanda, Sha and Contractor",NGO,Hyderabad
O028,Garg-Chaudhry,Shop,Guntur
O029,Verma-Dhillon,NGO,Visakhapatnam
O030,"Bhalla, Ratta and Sen",Shop,Guntur
