transaction_id,sender_person_id,receiver_person_id,amount,transaction_date,transaction_type
T0001,P005,P138,65903.1,2026-02-07,UPI
T0002,P098,P066,87067.57,2025-11-16,NEFT
T0003,P114,P057,32764.17,2026-02-03,NEFT
T0004,P149,P102,15986.33,2025-11-27,NEFT
T0005,P112,P095,15259.25,2026-07-22,Bank Transfer
T0006,P024,P127,18560.6,2026-04-16,NEFT
T0007,P046,P049,57180.97,2025-12-23,NEFT
T0008,P073,P006,31360.94,2026-05-12,NEFT
T0009,P101,P049,7410.68,2025-11-30,UPI
T0010,P110,P063,45774.9,2026-07-22,Bank Transfer
T0011,P026,P135,14160.48,2026-02-13,UPI
T0012,P026,P097,38707.06,2025-09-16,UPI
T0013,P004,P012,13651.82,2026-08-17,UPI
T0014,P069,P037,93890.54,2026-02-12,UPI
T0015,P003,P028,54465.83,2025-11-30,IMPS
T0016,P022,P052,14353.39,2026-07-31,Bank Transfer
T0017,P042,P079,33509.75,2026-03-15,NEFT
T0018,P063,P015,54580.88,2026-04-26,IMPS
T0019,P140,P032,2610.19,2026-06-15,UPI
T0020,P027,P140,30025.48,2026-03-07,Bank Transfer
T0021,P037,P001,91260.61,2026-03-29,UPI
T0022,P059,P110,38845.61,2026-05-10,IMPS
T0023,P074,P058,92208.25,2026-02-06,Bank Transfer
T0024,P029,P126,17371.13,2026-05-28,UPI
T0025,P058,P027,95668.42,2025-12-18,IMPS
T0026,P092,P020,61761.83,2026-01-02,UPI
T0027,P093,P022,89610.86,2025-10-12,NEFT
T0028,P046,P110,53282.82,2026-01-22,NEFT
T0029,P109,P039,89365.2,2026-05-19,IMPS
T0030,P074,P090,87602.52,2026-01-29,IMPS
T0031,P128,P095,93321.74,2026-01-15,UPI
T0032,P001,P039,77889.51,2026-08-26,NEFT
T0033,P082,P038,39364.66,2026-01-31,Bank Transfer
T0034,P018,P029,57995.37,2026-03-20,IMPS
T0035,P038,P024,32643.81,2026-01-11,NEFT
T0036,P047,P099,35584.57,2026-08-08,Bank Transfer
T0037,P109,P124,69495.37,2026-08-08,Bank Transfer
T0038,P086,P036,80313.02,2026-03-15,NEFT
T0039,P099,P108,55159.26,2025-11-15,Bank Transfer
T0040,P137,P138,82229.72,2025-10-31,Bank Transfer
T0041,P022,P149,71634.64,2025-12-11,NEFT
T0042,P023,P061,36490.09,2026-03-19,NEFT
T0043,P005,P093,56058.26,2025-11-15,NEFT
T0044,P029,P016,91180.51,2026-01-18,IMPS
T0045,P036,P076,46308.64,2025-11-12,Bank Transfer
T0046,P063,P054,82868.27,2026-07-09,UPI
T0047,P036,P031,96224.17,2025-11-12,NEFT
T0048,P097,P007,69764.19,2025-12-01,Bank Transfer
T0049,P096,P014,70289.48,2025-12-15,UPI
T0050,P123,P041,3503.48,2025-09-25,IMPS
T0051,P037,P021,24882.06,2026-01-23,UPI
T0052,P146,P107,15396.86,2026-07-03,NEFT
T0053,P121,P036,74936.66,2026-01-03,IMPS
T0054,P121,P106,72394.46,2025-11-25,Bank Transfer
T0055,P004,P074,11571.03,2026-02-11,UPI
T0056,P009,P045,50577.89,2026-03-25,UPI
T0057,P102,P109,68150.4,2025-12-22,Bank Transfer
T0058,P142,P067,91955.45,2025-12-22,IMPS
T0059,P059,P109,93179.3,2025-09-07,IMPS
T0060,P024,P134,38067.25,2025-12-19,NEFT
T0061,P055,P103,62094.85,2025-11-14,NEFT
T0062,P101,P048,82339.24,2025-09-03,UPI
T0063,P120,P123,31662.37,2025-09-20,Bank Transfer
T0064,P098,P043,5939.83,2026-03-25,IMPS
T0065,P109,P050,27357.0,2026-01-21,UPI
T0066,P020,P093,60517.42,2026-06-08,IMPS
T0067,P008,P062,28579.59,2026-08-17,UPI
T0068,P017,P055,59912.52,2026-05-07,IMPS
T0069,P049,P142,20571.73,2025-11-28,UPI
T0070,P062,P069,8961.42,2026-08-06,UPI
T0071,P145,P124,5045.22,2025-11-22,IMPS
T0072,P024,P080,1343.63,2026-05-13,IMPS
T0073,P073,P102,50271.5,2026-05-25,IMPS
T0074,P101,P092,97398.15,2026-03-06,UPI
T0075,P085,P105,89702.86,2025-09-03,UPI
T0076,P129,P039,2856.69,2025-12-16,Bank Transfer
T0077,P123,P010,29366.88,2026-05-12,NEFT
T0078,P119,P021,88577.79,2026-02-14,UPI
T0079,P060,P056,80843.87,2026-08-10,NEFT
T0080,P042,P129,51871.93,2026-02-17,IMPS
T0081,P115,P034,34232.56,2026-03-17,IMPS
T0082,P111,P011,89122.65,2026-04-24,Bank Transfer
T0083,P062,P054,99702.45,2026-04-30,UPI
T0084,P040,P146,62965.07,2026-05-03,Bank Transfer
T0085,P025,P004,14690.94,2026-04-20,IMPS
T0086,P141,P023,50141.77,2026-04-02,Bank Transfer
T0087,P081,P044,93438.57,2025-10-07,NEFT
T0088,P018,P072,57862.91,2026-07-17,IMPS
T0089,P023,P019,18329.03,2026-06-25,Bank Transfer
T0090,P067,P122,97859.13,2026-03-27,Bank Transfer
T0091,P036,P032,97182.22,2026-08-17,Bank Transfer
T0092,P011,P094,85970.82,2025-09-15,Bank Transfer
T0093,P105,P034,44362.35,2026-07-19,IMPS
T0094,P096,P022,68378.99,2026-05-08,Bank Transfer
T0095,P068,P011,62251.07,2025-12-28,UPI
T0096,P063,P144,1290.32,2026-06-07,UPI
T0097,P075,P097,16241.48,2026-02-21,Bank Transfer
T0098,P019,P058,39128.19,2025-12-16,Bank Transfer
T0099,P024,P090,46854.82,2026-05-13,Bank Transfer
T0100,P028,P022,18437.2,2025-12-15,UPI
T0101,P102,P111,20347.36,2025-12-25,IMPS
T0102,P017,P082,34571.14,2026-08-04,Bank Transfer
T0103,P055,P122,11875.48,2026-08-10,Bank Transfer
T0104,P010,P140,15996.24,2025-09-26,Bank Transfer
T0105,P038,P055,32358.57,2026-08-28,UPI
T0106,P098,P016,93677.74,2026-07-24,IMPS
T0107,P111,P122,21735.37,2026-08-08,NEFT
T0108,P006,P109,27349.89,2025-12-23,NEFT
