event_id,vehicle_id,person_id,location_id,event_date
VE0001,V041,P005,L016,2026-03-29
VE0002,V014,P033,L006,2026-07-31
VE0003,V048,P131,L008,2025-10-21
VE0004,V027,P002,L022,2026-03-03
VE0005,V034,P070,L019,2026-01-07
VE0006,V047,P049,L016,2025-12-10
VE0007,V036,P061,L002,2026-03-17
VE0008,V028,P055,L020,2025-11-07
VE0009,V043,P100,L007,2026-06-16
VE0010,V034,P075,L012,2025-12-05
VE0011,V009,P104,L019,2026-08-09
VE0012,V027,P149,L010,2026-05-28
VE0013,V018,P064,L020,2026-07-24
VE0014,V008,P108,L009,2025-12-20
VE0015,V042,P128,L001,2025-09-28
VE0016,V008,P104,L019,2026-01-03
VE0017,V013,P065,L023,2026-02-10
VE0018,V009,P148,L006,2026-08-18
VE0019,V042,P149,L004,2025-12-27
VE0020,V043,P064,L005,2025-12-06
VE0021,V046,P011,L008,2026-04-04
VE0022,V016,P012,L024,2026-04-24
VE0023,V005,P102,L005,2026-01-15
VE0024,V014,P071,L004,2026-08-05
VE0025,V037,P001,L021,2025-12-03
VE0026,V014,P029,L027,2025-10-19
VE0027,V045,P004,L014,2025-10-06
VE0028,V007,P088,L007,2025-09-24
VE0029,V029,P037,L005,2026-06-28
VE0030,V047,P032,L028,2026-07-20
VE0031,V024,P084,L014,2025-12-01
VE0032,V025,P133,L022,2025-10-17
VE0033,V018,P114,L022,2026-04-01
VE0034,V013,P038,L007,2025-09-17
VE0035,V025,P091,L007,2026-04-04
VE0036,V043,P063,L016,2026-02-09
VE0037,V032,P071,L014,2026-04-24
VE0038,V004,P065,L001,2025-10-12
VE0039,V028,P119,L006,2026-02-01
VE0040,V004,P016,L024,2026-03-30
VE0041,V030,P135,L010,2026-05-28
VE0042,V014,P106,L004,2026-07-30
VE0043,V019,P037,L010,2025-11-07
VE0044,V018,P046,L014,2025-09-25
VE0045,V050,P004,L016,2026-08-06
VE0046,V049,P136,L003,2025-10-13
VE0047,V038,P117,L012,2026-02-19
VE0048,V020,P058,L015,2026-04-21
VE0049,V013,P071,L027,2026-08-04
VE0050,V031,P100,L009,2025-09-12
VE0051,V011,P123,L008,2026-08-27
VE0052,V029,P035,L001,2026-05-18
VE0053,V050,P061,L021,2026-07-26
VE0054,V032,P099,L008,2026-08-30
VE0055,V036,P131,L021,2025-10-10
VE0056,V010,P029,L009,2026-02-21
VE0057,V047,P095,L017,2026-05-22
VE0058,V017,P026,L009,2025-12-01
VE0059,V043,P133,L026,2025-10-27
VE0060,V020,P104,L001,2026-05-02
VE0061,V005,P146,L029,2026-08-14
VE0062,V007,P062,L029,2026-05-07
VE0063,V019,P065,L026,2026-03-14
VE0064,V016,P143,L028,2026-07-06
VE0065,V040,P148,L026,2026-06-26
VE0066,V034,P047,L021,2026-05-10
VE0067,V032,P136,L001,2025-09-03
VE0068,V010,P006,L011,2026-04-27
VE0069,V050,P142,L014,2026-02-04
VE0070,V037,P088,L001,2026-05-15
VE0071,V031,P050,L006,2026-07-09
VE0072,V007,P079,L024,2025-10-26
VE0073,V049,P109,L009,2026-08-28
VE0074,V045,P070,L019,2026-06-23
VE0075,V013,P103,L022,2025-09-03
VE0076,V039,P145,L019,2026-05-21
VE0077,V023,P025,L013,2025-10-29
VE0078,V031,P051,L029,2026-01-17
VE0079,V016,P084,L002,2026-08-28
VE0080,V022,P092,L016,2025-10-15
VE0081,V049,P062,L018,2026-03-22
VE0082,V022,P127,L008,2025-10-15
VE0083,V028,P144,L001,2025-09-15
VE0084,V045,P020,L004,2025-10-11
VE0085,V037,P036,L008,2025-10-10
VE0086,V027,P012,L007,2026-06-25
VE0087,V030,P106,L018,2026-04-24
VE0088,V048,P019,L004,2026-05-09
VE0089,V044,P141,L015,2026-01-03
VE0090,V046,P035,L008,2026-04-05
VE0091,V048,P055,L007,2026-04-09
VE0092,V024,P025,L002,2026-03-19
VE0093,V017,P003,L030,2026-07-28
VE0094,V038,P105,L004,2026-03-20
VE0095,V018,P116,L029,2026-05-24
VE0096,V014,P024,L011,2026-01-08
VE0097,V016,P031,L003,2026-07-30
VE0098,V017,P138,L024,2026-08-28
VE0099,V041,P062,L002,2026-07-19
VE0100,V031,P071,L018,2026-07-09
VE0101,V011,P002,L030,2026-08-03
VE0102,V032,P056,L026,2025-10-18
VE0103,V027,P085,L004,2026-08-09
VE0104,V006,P129,L019,2026-03-23
VE0105,V015,P148,L009,2025-11-15
VE0106,V001,P110,L023,2026-02-22
VE0107,V023,P092,L025,2026-03-13
VE0108,V029,P143,L023,2026-02-09
VE0109,V011,P007,L024,2026-02-14
VE0110,V007,P147,L001,2026-07-28
VE0111,V043,P071,L007,2025-11-02
VE0112,V012,P041,L008,2026-05-31
VE0113,V048,P012,L024,2026-06-30
VE0114,V012,P051,L027,2026-05-30
VE0115,V014,P051,L005,2026-04-28
VE0116,V019,P118,L002,2025-09-08
VE0117,V043,P116,L008,2025-09-14
VE0118,V040,P035,L002,2025-12-12
VE0119,V008,P053,L012,2026-05-29
VE0120,V041,P077,L027,2026-05-21
VE0121,V044,P111,L005,2025-11-27
VE0122,V045,P017,L027,2025-12-20
VE0123,V011,P122,L013,2026-04-27
VE0124,V001,P044,L012,2026-02-19
VE0125,V003,P137,L006,2026-08-03
VE0126,V044,P108,L004,2026-03-24
VE0127,V006,P041,L007,2025-09-18
VE0128,V005,P040,L014,2026-04-16
VE0129,V007,P112,L008,2025-12-09
VE0130,V045,P043,L009,2026-02-20
VE0131,V046,P134,L023,2026-05-22
VE0132,V036,P136,L029,2026-02-22
VE0133,V038,P150,L011,2026-05-15
VE0134,V029,P041,L027,2026-03-05
VE0135,V039,P137,L022,2026-03-03
VE0136,V037,P056,L015,2026-01-22
VE0137,V028,P045,L020,2026-07-13
VE0138,V029,P072,L011,2026-02-16
VE0139,V017,P055,L030,2025-12-24
VE0140,V047,P006,L007,2025-12-28
VE0141,V026,P076,L013,2026-06-09
VE0142,V050,P138,L015,2026-03-20
VE0143,V006,P149,L004,2025-09-26
VE0144,V045,P033,L029,2026-05-24
VE0145,V004,P059,L024,2025-12-23
VE0146,V045,P137,L028,2026-08-29
VE0147,V008,P144,L016,2026-03-12
VE0148,V026,P149,L023,2026-04-02
VE0149,V048,P035,L002,2026-01-12
VE0150,V034,P047,L018,2026-04-27
VE0151,V015,P033,L008,2026-05-15
VE0152,V004,P131,L028,2026-03-15
VE0153,V039,P140,L029,2025-12-20
VE0154,V005,P062,L018,2026-03-06
VE0155,V036,P022,L011,2026-02-28
VE0156,V034,P138,L003,2025-09-29
VE0157,V017,P067,L011,2026-06-25
VE0158,V036,P035,L027,2025-10-29
VE0159,V012,P012,L014,2025-12-09
VE0160,V032,P053,L005,2025-12-10
VE0161,V015,P023,L017,2026-06-19
VE0162,V010,P114,L003,2026-04-09
VE0163,V028,P140,L003,2026-04-20
VE0164,V048,P083,L015,2026-08-05
VE0165,V011,P071,L028,2026-05-22
VE0166,V022,P008,L002,2025-09-05
VE0167,V049,P003,L025,2025-10-18
VE0168,V002,P007,L028,2025-11-20
VE0169,V047,P008,L003,2025-12-05
VE0170,V021,P043,L025,2026-05-21
VE0171,V048,P150,L003,2026-07-04
VE0172,V006,P049,L016,2025-10-15
VE0173,V007,P113,L026,2026-03-12
VE0174,V035,P096,L002,2026-01-01
VE0175,V041,P007,L024,2025-10-11
VE0176,V010,P091,L011,2025-12-02
VE0177,V025,P030,L026,2026-08-13
VE0178,V033,P075,L025,2026-06-26
VE0179,V019,P067,L006,2026-01-08
VE0180,V006,P140,L027,2026-02-04
VE0181,V010,P148,L018,2026-03-03
VE0182,V031,P074,L016,2026-03-28
VE0183,V034,P020,L005,2026-08-13
VE0184,V012,P074,L017,2025-10-28
VE0185,V040,P011,L011,2025-12-18
VE0186,V025,P121,L002,2025-12-30
VE0187,V033,P112,L015,2026-08-06
VE0188,V002,P012,L020,2025-12-18
VE0189,V004,P001,L022,2025-09-13
VE0190,V017,P063,L013,2026-02-08
VE0191,V023,P088,L003,2025-12-06
VE0192,V024,P133,L009,2026-05-04
VE0193,V034,P039,L013,2026-03-19
VE0194,V025,P145,L004,2025-09-24
VE0195,V016,P106,L005,2026-05-27
VE0196,V018,P131,L008,2026-01-04
VE0197,V021,P095,L022,2025-09-13
VE0198,V004,P094,L010,2025-10-17
VE0199,V011,P148,L013,2025-10-14
VE0200,V047,P011,L018,2026-08-30
VE0201,V046,P011,L021,2025-09-19
VE0202,V031,P014,L014,2026-05-08
VE0203,V014,P062,L014,2025-11-20
VE0204,V039,P143,L015,2025-09-05
VE0205,V040,P091,L026,2026-08-25
VE0206,V002,P135,L006,2026-04-27
VE0207,V009,P017,L002,2026-03-11
VE0208,V018,P013,L030,2025-09-19
VE0209,V008,P101,L009,2025-09-05
VE0210,V034,P032,L029,2025-12-20
VE0211,V036,P136,L024,2025-12-30
VE0212,V001,P067,L021,2026-06-01
VE0213,V047,P067,L028,2026-02-24
VE0214,V042,P046,L018,2026-08-31
VE0215,V031,P128,L029,2025-12-02
VE0216,V016,P133,L007,2026-02-28
VE0217,V025,P049,L017,2026-08-07
VE0218,V042,P017,L013,2026-02-24
VE0219,V018,P063,L005,2025-11-07
VE0220,V044,P017,L005,2026-08-16
VE0221,V045,P103,L020,2026-08-30
VE0222,V044,P076,L024,2026-08-29
VE0223,V011,P134,L019,2026-08-10
VE0224,V042,P079,L014,2026-06-12
VE0225,V020,P041,L001,2025-11-10
VE0226,V016,P108,L025,2026-02-28
VE0227,V046,P034,L012,2026-07-28
VE0228,V047,P136,L014,2025-12-24
VE0229,V014,P027,L010,2025-12-22
VE0230,V050,P065,L003,2026-08-11
VE0231,V030,P011,L027,2025-11-06
VE0232,V025,P075,L021,2026-03-04
VE0233,V025,P041,L012,2026-03-07
VE0234,V049,P096,L025,2025-12-25
VE0235,V019,P011,L006,2026-01-20
VE0236,V026,P059,L024,2025-09-20
VE0237,V044,P095,L011,2026-01-25
VE0238,V035,P048,L010,2026-05-22
VE0239,V013,P006,L022,2026-09-02
VE0240,V006,P121,L013,2025-12-05
VE0241,V020,P106,L026,2025-10-12
VE0242,V018,P075,L017,2026-08-14
VE0243,V037,P136,L017,2026-07-08
VE0244,V002,P058,L024,2026-07-06
VE0245,V007,P095,L008,2026-01-17
VE0246,V036,P129,L017,2026-05-27
VE0247,V012,P071,L011,2026-01-09
VE0248,V047,P035,L015,2026-07-10
VE0249,V040,P016,L022,2026-07-13
VE0250,V045,P088,L002,2026-03-25
VE0251,V019,P015,L028,2026-05-25
VE0252,V019,P062,L007,2026-07-25
VE0253,V014,P054,L025,2025-10-04
VE0254,V023,P050,L027,2025-11-11
VE0255,V034,P066,L019,2026-06-20
VE0256,V021,P032,L013,2026-07-19
VE0257,V047,P057,L026,2026-06-20
VE0258,V010,P027,L003,2026-03-10
VE0259,V007,P117,L017,2026-06-02
VE0260,V030,P032,L018,2025-12-02
VE0261,V004,P051,L008,2026-07-13
VE0262,V038,P024,L021,2026-01-24
VE0263,V044,P051,L016,2025-11-07
VE0264,V014,P035,L013,2026-03-31
VE0265,V042,P083,L008,2026-03-30
VE0266,V003,P105,L028,2026-08-16
VE0267,V003,P020,L003,2026-08-14
VE0268,V049,P130,L016,2025-10-31
VE0269,V049,P084,L013,2026-03-09
VE0270,V007,P119,L017,2026-03-27
VE0271,V027,P142,L024,2026-07-09
VE0272,V034,P003,L001,2026-07-02
VE0273,V012,P054,L027,2026-04-22
VE0274,V002,P008,L019,2026-08-14
VE0275,V007,P086,L025,2026-07-25
VE0276,V027,P029,L018,2025-10-27
VE0277,V009,P135,L030,2025-12-22
VE0278,V001,P063,L023,2026-09-02
VE0279,V025,P086,L016,2026-03-15
VE0280,V041,P128,L009,2025-10-18
VE0281,V047,P073,L027,2026-05-29
VE0282,V039,P031,L024,2026-03-11
VE0283,V027,P001,L029,2025-09-24
VE0284,V040,P055,L013,2025-10-21
VE0285,V024,P089,L005,2025-09-25
VE0286,V004,P020,L010,2026-05-23
VE0287,V039,P019,L026,2026-05-30
VE0288,V008,P135,L021,2026-07-16
VE0289,V050,P148,L010,2026-01-15
VE0290,V007,P139,L010,2025-10-12
VE0291,V015,P060,L013,2026-06-20
VE0292,V034,P123,L011,2026-03-25
VE0293,V002,P036,L025,2026-03-14
VE0294,V027,P050,L006,2026-02-12
