vehicle_id,registration_number,vehicle_type,owner_person_id
V001,AP85GH5497,Car,P145
V002,AP88AB9138,Truck,P059
V003,AP78EF4588,Bike,P065
V004,AP87CD2591,Car,P080
V005,AP57AB6977,Bike,P024
V006,AP38EF7807,Bike,P052
V007,AP17EF9697,Truck,P043
V008,AP33GH5835,Truck,P030
V009,AP60AB3306,Bike,P102
V010,AP72EF2479,Auto,P004
V011,AP34AB8451,Truck,P068
V012,AP75GH7086,Car,P060
V013,AP61AB6374,Bike,P017
V014,AP82GH5951,Auto,P030
V015,AP18AB1609,Truck,P127
V016,AP15AB4846,Bike,P100
V017,AP59EF9850,Auto,P040
V018,AP54AB9017,Auto,P072
V019,AP05EF4559,Auto,P114
V020,AP31EF2627,Truck,P140
V021,AP83EF1992,Auto,P071
V022,AP25AB8450,Car,P055
V023,AP83AB1828,Truck,P063
V024,AP17CD2124,Bike,P056
V025,AP30EF3417,Car,P071
V026,AP19CD9850,Truck,P045
V027,AP15AB3159,Car,P092
V028,AP31EF1258,Bike,P068
V029,AP07CD7897,Car,P017
V030,AP61GH6931,Car,P116
V031,AP65CD1710,Truck,P118
V032,AP83AB1996,Auto,P103
V033,AP55AB9032,Auto,P019
V034,AP11EF3430,Car,P033
V035,AP36EF7240,Truck,P117
V036,AP65GH2624,Car,P142
V037,AP93CD8046,Auto,P059
V038,AP53EF8430,Auto,P107
V039,AP94AB6120,Auto,P081
V040,AP86EF7132,Bike,P122
V041,AP09AB2398,Car,P111
V042,AP13EF3131,Car,P144
V043,AP72EF3002,Auto,P091
V044,AP86GH1842,Truck,P080
V045,AP46AB9313,Bike,P040
V046,AP85GH4674,Car,P090
V047,AP72EF2882,Truck,P147
V048,AP29GH1430,Truck,P008
V049,AP24EF6062,Truck,P090
V050,AP01CD3347,Auto,P018
